sex,age,hours,inctot
1,18,8,500
2,18,40,2300
2,18,20,8500
2,18,40,21600
2,18,6,2100
2,18,0,19400
1,18,30,1300
2,18,0,0
1,18,0,0
2,18,0,0
2,18,20,4600
1,18,40,4000
2,18,59,5800
1,18,0,0
1,18,20,4500
2,18,10,700
1,18,10,890
1,18,20,2700
2,18,25,5000
1,18,0,4500
2,18,40,10500
1,18,0,290
1,18,44,9000
1,18,90,10600
2,18,40,680
2,18,6,400
2,18,35,5400
2,18,0,0
1,18,40,1000
2,18,10,810
2,18,20,7200
2,18,40,20000
1,18,40,8000
1,18,16,5000
1,18,0,0
1,18,14,1200
1,18,10,4000
2,18,0,0
1,18,20,650
1,18,0,0
2,18,0,0
1,18,12,1200
2,18,7,3000
2,18,0,0
1,18,40,3500
2,18,40,400
1,18,15,9000
1,18,38,7800
1,18,25,4300
2,18,0,0
1,18,20,1700
1,18,15,2300
1,18,35,2000
1,18,40,11000
1,18,0,0
1,18,24,3400
1,18,40,8000
2,19,40,10000
1,19,0,0
2,19,0,0
2,19,0,0
2,19,25,5600
1,19,40,2500
2,19,30,7600
2,19,40,6000
1,19,40,480
2,19,0,0
1,19,20,4000
1,19,45,2500
2,19,30,15400
1,19,0,0
1,19,40,10400
2,19,40,10000
1,19,40,27000
1,19,5,300
2,19,40,13500
1,19,5,940
2,19,30,8000
1,19,50,2000
2,19,35,17500
1,19,0,0
2,19,10,550
2,19,30,3000
2,19,33,10000
1,19,30,1000
1,19,20,3000
1,19,40,5000
1,19,35,10000
1,19,40,6200
2,19,15,1000
1,19,40,4900
1,19,30,5500
2,19,30,9000
2,19,32,1600
2,19,0,0
1,19,40,4800
1,19,40,5000
2,19,40,7000
1,19,50,15400
1,19,40,13000
2,19,20,1200
1,19,0,0
2,19,30,750
2,19,40,12000
2,19,0,0
1,19,25,4450
2,19,35,5000
2,19,0,0
1,19,0,0
2,19,0,0
2,19,15,4200
2,19,30,3500
2,19,38,15000
1,19,10,4100
2,19,17,5000
2,19,0,0
2,19,28,1000
1,19,40,1200
1,19,35,4600
2,19,30,2000
1,19,30,980
1,19,40,14000
2,19,25,7500
1,19,35,8400
1,19,40,14000
1,19,0,0
2,19,40,20000
2,19,20,4900
2,19,30,4000
2,19,40,4000
2,19,0,0
2,19,0,310
1,20,40,11000
2,20,8,3500
1,20,20,11610
2,20,20,7400
1,20,62,6000
2,20,40,7900
2,20,20,90
2,20,60,10000
1,20,42,24400
1,20,40,13300
2,20,0,0
1,20,8,3800
1,20,40,2000
1,20,0,0
2,20,25,4200
1,20,40,8000
2,20,40,19000
1,20,40,30000
2,20,45,25500
2,20,0,0
1,20,25,17700
1,20,40,7000
2,20,30,6000
2,20,40,2700
1,20,40,20000
2,20,0,0
1,20,40,2300
2,20,0,0
2,20,30,9000
1,20,0,0
1,20,40,19400
2,20,40,11120
2,20,20,7400
2,20,15,4000
1,20,40,600
1,20,40,52000
2,20,40,7000
1,20,40,960
1,20,40,3200
2,20,0,0
1,20,40,16500
2,20,10,800
1,20,90,6000
2,20,12,4500
1,20,40,8000
1,20,24,10000
1,20,40,15000
2,20,0,0
2,20,40,12000
2,20,0,0
1,20,20,23000
2,20,40,5000
2,20,35,12000
1,20,30,2000
1,20,40,15000
2,20,15,4000
1,20,45,46670
2,20,15,4000
2,20,18,4300
1,21,40,74000
2,21,0,0
2,21,40,13000
1,21,30,12000
1,21,50,40000
2,21,50,15500
2,21,40,11100
1,21,50,12000
1,21,25,15000
1,21,40,4000
1,21,40,20000
1,21,50,16000
2,21,40,8000
1,21,40,15000
1,21,35,10000
1,21,35,16000
1,21,40,19600
2,21,40,23500
2,21,30,11100
2,21,40,27100
2,21,30,5400
1,21,40,18000
2,21,40,16000
1,21,0,2300
2,21,20,2000
1,21,0,0
1,21,20,7000
1,21,0,0
2,21,40,6000
2,21,24,1200
2,21,0,0
1,21,40,20000
2,21,25,8000
2,21,40,3000
1,21,40,12000
2,21,30,6000
2,21,20,6000
1,21,40,4600
1,21,40,22000
2,21,0,0
1,21,55,20000
2,21,40,6500
2,21,40,18000
2,21,32,1500
2,21,40,11700
2,21,0,0
2,21,38,13000
2,21,0,0
2,21,30,5000
2,21,40,1800
2,21,30,7000
2,22,35,12000
1,22,40,1500
1,22,45,29000
1,22,60,23000
2,22,38,24000
2,22,20,6900
1,22,40,22000
1,22,40,11000
1,22,40,16000
2,22,24,3300
1,22,30,5200
2,22,28,8000
2,22,25,7000
2,22,40,11500
2,22,0,0
2,22,40,15000
1,22,40,11000
2,22,0,2200
2,22,80,12000
1,22,25,7000
1,22,35,5000
2,22,40,20000
1,22,40,13000
1,22,50,31000
2,22,40,16800
1,22,15,8000
2,22,25,6500
2,22,45,23900
1,22,40,16000
2,22,35,20000
2,22,0,0
2,22,0,3520
1,22,55,40000
2,22,25,8000
1,22,50,6000
1,22,37,4900
1,22,16,10000
2,22,0,0
2,22,35,5600
1,22,28,10500
1,22,40,38000
1,22,50,15000
1,22,40,13000
2,22,20,10850
1,22,0,4400
1,22,40,22000
1,22,40,16800
1,22,20,530
1,22,40,21000
2,22,40,21000
2,22,40,15000
1,22,40,28800
2,22,0,0
1,22,50,20000
2,22,37,8000
1,22,50,18010
2,22,15,4000
1,22,20,6120
1,22,35,4200
2,22,40,16050
2,23,0,3000
1,23,15,1000
2,23,6,3904
2,23,0,0
1,23,15,1800
2,23,5,250
1,23,50,5000
1,23,40,15000
2,23,40,31000
1,23,40,13500
2,23,35,21000
1,23,0,0
1,23,0,7900
2,23,40,26000
2,23,40,26310
2,23,54,3630
1,23,0,0
2,23,45,24000
1,23,40,13000
1,23,40,14800
2,23,0,3780
2,23,40,16500
1,23,40,14520
2,23,37,16090
2,23,40,15000
1,23,0,0
1,23,30,8000
1,23,60,30000
2,23,20,24000
1,23,0,0
1,23,50,6000
1,23,40,12000
