"eta","nonclassmate","T1CI","T1HT","T1pillai"
0,0.75,0.046,0.04,0.042
0,0.8,0.046,0.04,0.042
0,0.85,0.046,0.04,0.042
0,0.9,0.046,0.04,0.042
0,0.95,0.046,0.04,0.042
0,1,0.046,0.04,0.042
0.1,0.75,0.17,0.224,0.25
0.1,0.8,0.168,0.182,0.224
0.1,0.85,0.126,0.174,0.184
0.1,0.9,0.118,0.11,0.138
0.1,0.95,0.054,0.084,0.084
0.1,1,0.054,0.048,0.05
0.2,0.75,0.296,0.36,0.468
0.2,0.8,0.254,0.328,0.414
0.2,0.85,0.218,0.268,0.31
0.2,0.9,0.16,0.198,0.248
0.2,0.95,0.096,0.12,0.144
0.2,1,0.056,0.062,0.054
0.3,0.75,0.408,0.454,0.638
0.3,0.8,0.37,0.392,0.564
0.3,0.85,0.294,0.368,0.494
0.3,0.9,0.234,0.302,0.376
0.3,0.95,0.152,0.178,0.226
0.3,1,0.058,0.064,0.062
0.4,0.75,0.514,0.536,0.732
0.4,0.8,0.478,0.46,0.684
0.4,0.85,0.404,0.418,0.62
0.4,0.9,0.328,0.354,0.488
0.4,0.95,0.178,0.248,0.296
0.4,1,0.068,0.056,0.07
0.5,0.75,0.57,0.592,0.796
0.5,0.8,0.55,0.53,0.762
0.5,0.85,0.514,0.458,0.702
0.5,0.9,0.422,0.402,0.638
0.5,0.95,0.256,0.31,0.396
0.5,1,0.06,0.052,0.05
