"originx","originy","widthx","widthy","totalSpatialLoss","bintype","distrib"
-2,-2,2,2,141421.35623731,"standard","Uniform"
-2,-2,2,2,141421.35623731,"random","Uniform"
-1.96666666666667,-1.96666666666667,2,2,136707.311029399,"standard","Uniform"
-1.96666666666667,-1.96666666666667,2,2,141249.417875556,"random","Uniform"
-1.93333333333333,-1.93333333333333,2,2,131993.265821489,"standard","Uniform"
-1.93333333333333,-1.93333333333333,2,2,140855.811223101,"random","Uniform"
-1.9,-1.9,2,2,127279.220613579,"standard","Uniform"
-1.9,-1.9,2,2,140194.431861548,"random","Uniform"
-1.86666666666667,-1.86666666666667,2,2,122565.175405668,"standard","Uniform"
-1.86666666666667,-1.86666666666667,2,2,139347.582102579,"random","Uniform"
-1.83333333333333,-1.83333333333333,2,2,117851.130197758,"standard","Uniform"
-1.83333333333333,-1.83333333333333,2,2,138181.726841495,"random","Uniform"
-1.8,-1.8,2,2,113137.084989847,"standard","Uniform"
-1.8,-1.8,2,2,136907.333897275,"random","Uniform"
-1.76666666666667,-1.76666666666667,2,2,108423.039781937,"standard","Uniform"
-1.76666666666667,-1.76666666666667,2,2,135197.513463611,"random","Uniform"
-1.73333333333333,-1.73333333333333,2,2,103708.994574027,"standard","Uniform"
-1.73333333333333,-1.73333333333333,2,2,133232.716729474,"random","Uniform"
-1.7,-1.7,2,2,98994.9493661169,"standard","Uniform"
-1.7,-1.7,2,2,131203.947623634,"random","Uniform"
-1.66666666666667,-1.66666666666667,2,2,94280.9041582065,"standard","Uniform"
-1.66666666666667,-1.66666666666667,2,2,128897.658352698,"random","Uniform"
-1.63333333333333,-1.63333333333333,2,2,89566.8589502963,"standard","Uniform"
-1.63333333333333,-1.63333333333333,2,2,126132.9156216,"random","Uniform"
-1.6,-1.6,2,2,84852.8137423855,"standard","Uniform"
-1.6,-1.6,2,2,122980.084871605,"random","Uniform"
-1.56666666666667,-1.56666666666667,2,2,80138.7685344753,"standard","Uniform"
-1.56666666666667,-1.56666666666667,2,2,119551.042525299,"random","Uniform"
-1.53333333333333,-1.53333333333333,2,2,75424.7233265648,"standard","Uniform"
-1.53333333333333,-1.53333333333333,2,2,116036.335791048,"random","Uniform"
-1.5,-1.5,2,2,70710.6781186548,"standard","Uniform"
-1.5,-1.5,2,2,111999.088876397,"random","Uniform"
-1.46666666666667,-1.46666666666667,2,2,65996.6329107447,"standard","Uniform"
-1.46666666666667,-1.46666666666667,2,2,107702.922235977,"random","Uniform"
-1.43333333333333,-1.43333333333333,2,2,61282.5877028342,"standard","Uniform"
-1.43333333333333,-1.43333333333333,2,2,102857.068314662,"random","Uniform"
-1.4,-1.4,2,2,56568.542494924,"standard","Uniform"
-1.4,-1.4,2,2,97785.8105391328,"random","Uniform"
-1.36666666666667,-1.36666666666667,2,2,51854.4972870132,"standard","Uniform"
-1.36666666666667,-1.36666666666667,2,2,92134.5339240802,"random","Uniform"
-1.33333333333333,-1.33333333333333,2,2,47140.452079103,"standard","Uniform"
-1.33333333333333,-1.33333333333333,2,2,86230.2517616912,"random","Uniform"
-1.3,-1.3,2,2,42426.4068711926,"standard","Uniform"
-1.3,-1.3,2,2,79692.9291716458,"random","Uniform"
-1.26666666666667,-1.26666666666667,2,2,37712.3616632824,"standard","Uniform"
-1.26666666666667,-1.26666666666667,2,2,72989.4978892825,"random","Uniform"
-1.23333333333333,-1.23333333333333,2,2,32998.3164553723,"standard","Uniform"
-1.23333333333333,-1.23333333333333,2,2,65356.5522132399,"random","Uniform"
-1.2,-1.2,2,2,28284.2712474621,"standard","Uniform"
-1.2,-1.2,2,2,57699.9218786762,"random","Uniform"
-1.16666666666667,-1.16666666666667,2,2,23570.2260395517,"standard","Uniform"
-1.16666666666667,-1.16666666666667,2,2,49229.6761089105,"random","Uniform"
-1.13333333333333,-1.13333333333333,2,2,18856.1808316416,"standard","Uniform"
-1.13333333333333,-1.13333333333333,2,2,40676.9958190019,"random","Uniform"
-1.1,-1.1,2,2,14142.1356237308,"standard","Uniform"
-1.1,-1.1,2,2,31481.8467694917,"random","Uniform"
-1.06666666666667,-1.06666666666667,2,2,9428.09041582058,"standard","Uniform"
-1.06666666666667,-1.06666666666667,2,2,21394.1494947678,"random","Uniform"
-1.03333333333333,-1.03333333333333,2,2,4714.04520791017,"standard","Uniform"
-1.03333333333333,-1.03333333333333,2,2,10964.1828135996,"random","Uniform"
-4,-4,4,4,170830.324871636,"standard","Uniform"
-4,-4,4,4,170830.324871636,"random","Uniform"
-3.93333333333333,-3.93333333333333,4,4,167547.580814872,"standard","Uniform"
-3.93333333333333,-3.93333333333333,4,4,175264.399727665,"random","Uniform"
-3.86666666666667,-3.86666666666667,4,4,164387.617472429,"standard","Uniform"
-3.86666666666667,-3.86666666666667,4,4,180855.193331623,"random","Uniform"
-3.8,-3.8,4,4,161363.261061178,"standard","Uniform"
-3.8,-3.8,4,4,186359.996019986,"random","Uniform"
-3.73333333333333,-3.73333333333333,4,4,158488.511349127,"standard","Uniform"
-3.73333333333333,-3.73333333333333,4,4,191763.275323477,"random","Uniform"
-3.66666666666667,-3.66666666666667,4,4,155778.513897205,"standard","Uniform"
-3.66666666666667,-3.66666666666667,4,4,196933.549388582,"random","Uniform"
-3.6,-3.6,4,4,153249.469296134,"standard","Uniform"
-3.6,-3.6,4,4,201166.144483535,"random","Uniform"
-3.53333333333333,-3.53333333333333,4,4,150918.460274974,"standard","Uniform"
