"originx","originy","widthx","widthy","totalSpatialLoss","maxSpatialLoss","propSpatialLoss","bintype","distrib"
-1,-1,2,2,0,3829506.27375865,0,"standard","unif"
-1,-1,2,2,0,3829506.27375865,0,"random","unif"
-1,-1,2.4,2.4,90969.1851427453,3829506.27375865,0.0237548077061796,"standard","unif"
-1,-1,2.4,2.4,122876.001970912,3829506.27375865,0.0320866433390926,"random","unif"
-1,-1,2.8,2.8,106326.577529746,3829506.27375865,0.0277650876976855,"standard","unif"
-1,-1,2.8,2.8,141169.870628454,3829506.27375865,0.0368637261664273,"random","unif"
-1,-1,3.2,3.2,122289.46024351,3829506.27375865,0.0319334795405579,"standard","unif"
-1,-1,3.2,3.2,163311.68383266,3829506.27375865,0.0426456237849089,"random","unif"
-1,-1,3.6,3.6,137568.915099834,3829506.27375865,0.0359234076837824,"standard","unif"
-1,-1,3.6,3.6,180636.611996757,3829506.27375865,0.0471696869214063,"random","unif"
-1,-1,4,4,141421.35623731,3829506.27375865,0.0369293966708937,"standard","unif"
-1,-1,4,4,221058.399320012,3829506.27375865,0.0577250390826605,"random","unif"
-1,-1,4.4,4.4,167948.224152614,3829506.27375865,0.0438563648017669,"standard","unif"
-1,-1,4.4,4.4,220431.623814905,3829506.27375865,0.0575613690269663,"random","unif"
-1,-1,4.8,4.8,182758.336056304,3829506.27375865,0.0477237332939336,"standard","unif"
-1,-1,4.8,4.8,244835.229300473,3829506.27375865,0.063933889070292,"random","unif"
-1,-1,5.2,5.2,198989.079790691,3829506.27375865,0.0519620717569378,"standard","unif"
-1,-1,5.2,5.2,268941.015798967,3829506.27375865,0.0702286395616744,"random","unif"
-1,-1,5.6,5.6,214019.229300693,3829506.27375865,0.0558868987282358,"standard","unif"
-1,-1,5.6,5.6,288194.647716995,3829506.27375865,0.0752563456265428,"random","unif"
-1,-1,6,6,213452.618598427,3829506.27375865,0.0557389395236382,"standard","unif"
-1,-1,6,6,282954.022687003,3829506.27375865,0.0738878598073907,"random","unif"
-1,-1,6.4,6.4,241976.375126841,3829506.27375865,0.0631873557134408,"standard","unif"
-1,-1,6.4,6.4,325350.950370264,3829506.27375865,0.0849589809004105,"random","unif"
-1,-1,6.8,6.8,257466.100673148,3829506.27375865,0.0672321918983162,"standard","unif"
-1,-1,6.8,6.8,345032.430857443,3829506.27375865,0.0900984111768524,"random","unif"
-1,-1,7.2,7.2,274421.812773594,3829506.27375865,0.0716598415451214,"standard","unif"
-1,-1,7.2,7.2,363657.512210645,3829506.27375865,0.0949619836642063,"random","unif"
-1,-1,7.6,7.6,291542.667241125,3829506.27375865,0.0761306148625202,"standard","unif"
-1,-1,7.6,7.6,386101.793420005,3829506.27375865,0.100822864833969,"random","unif"
-1,-1,8,8,296437.096816495,3829506.27375865,0.0774086985697879,"standard","unif"
-1,-1,8,8,416684.891876249,3829506.27375865,0.108809037533518,"random","unif"
-1,-1,2,2,0,1379992.58973461,0,"standard","norm"
-1,-1,2,2,0,1379992.58973461,0,"random","norm"
-1,-1,2.4,2.4,90930.6224337596,1379992.58973461,0.0658921092114316,"standard","norm"
-1,-1,2.4,2.4,125232.450243314,1379992.58973461,0.0907486396484184,"random","norm"
-1,-1,2.8,2.8,106009.251808438,1379992.58973461,0.0768187109097624,"standard","norm"
-1,-1,2.8,2.8,143159.146271858,1379992.58973461,0.103739068844847,"random","norm"
-1,-1,3.2,3.2,121773.597602145,1379992.58973461,0.0882422112321364,"standard","norm"
-1,-1,3.2,3.2,166448.297720904,1379992.58973461,0.120615356168625,"random","norm"
-1,-1,3.6,3.6,136554.245204633,1379992.58973461,0.0989528829505484,"standard","norm"
-1,-1,3.6,3.6,184746.654251115,1379992.58973461,0.133875106015347,"random","norm"
-1,-1,4,4,141421.35623731,1379992.58973461,0.102479793941869,"standard","norm"
-1,-1,4,4,222944.289934369,1379992.58973461,0.161554700795345,"random","norm"
-1,-1,4.4,4.4,167547.671570281,1379992.58973461,0.121412008163393,"standard","norm"
-1,-1,4.4,4.4,226790.684289431,1379992.58973461,0.164341958048517,"random","norm"
-1,-1,4.8,4.8,183076.761121733,1379992.58973461,0.132665032032484,"standard","norm"
-1,-1,4.8,4.8,248807.218386479,1379992.58973461,0.180296053933396,"random","norm"
-1,-1,5.2,5.2,198711.987664355,1379992.58973461,0.143994967177736,"standard","norm"
-1,-1,5.2,5.2,269092.324850499,1379992.58973461,0.194995485375938,"random","norm"
-1,-1,5.6,5.6,213593.814792265,1379992.58973461,0.154778957786535,"standard","norm"
-1,-1,5.6,5.6,290706.844549549,1379992.58973461,0.21065826491536,"random","norm"
-1,-1,6,6,214257.46376188,1379992.58973461,0.155259865419338,"standard","norm"
-1,-1,6,6,289586.574465799,1379992.58973461,0.209846470640461,"random","norm"
-1,-1,6.4,6.4,246154.03557288,1379992.58973461,0.178373447367727,"standard","norm"
-1,-1,6.4,6.4,334167.126553753,1379992.58973461,0.242151391999877,"random","norm"
-1,-1,6.8,6.8,258934.764315237,1379992.58973461,0.187634894738843,"standard","norm"
-1,-1,6.8,6.8,350848.754280382,1379992.58973461,0.254239592944375,"random","norm"
