"eta","nonclassmate","T1CI","T1HT","T1pillai"
0,0.9,0.052,0.0477,0.0507
0,0.925,0.052,0.0477,0.0507
0,0.95,0.052,0.0477,0.0507
0,0.975,0.052,0.0477,0.0507
0,1,0.052,0.0477,0.0507
0.1,0.9,0.1112,0.1134,0.1412
0.1,0.925,0.0946,0.099,0.115
0.1,0.95,0.0798,0.0854,0.0943
0.1,0.975,0.065,0.0721,0.0703
0.1,1,0.0527,0.0504,0.0512
0.2,0.9,0.1861,0.1874,0.2569
0.2,0.925,0.1561,0.1558,0.2068
0.2,0.95,0.1218,0.1177,0.1539
0.2,0.975,0.0841,0.0896,0.1007
0.2,1,0.0515,0.0549,0.0542
0.3,0.9,0.2599,0.2724,0.3759
0.3,0.925,0.2194,0.2198,0.3034
0.3,0.95,0.1666,0.166,0.2241
0.3,0.975,0.1101,0.1093,0.1376
0.3,1,0.0468,0.0502,0.048
0.4,0.9,0.3466,0.3423,0.4899
0.4,0.925,0.2895,0.2907,0.4108
0.4,0.95,0.2248,0.227,0.3133
0.4,0.975,0.1456,0.1438,0.1872
0.4,1,0.051,0.0461,0.0484
