q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,Instructor
5,5,4,4,1,2,1,4,4,1,1,4,NickM
4,5,4,4,2,3,2,4,3,1,1,3,NickM
4,4,3,4,2,2,1,4,4,2,4,3,NickM
5,5,1,5,1,2,1,4,4,1,1,3,NickM
5,5,1,5,1,3,1,5,5,1,1,3,NickM
4,4,3,4,2,4,3,3,4,2,3,4,NickM
4,4,1,4,5,1,2,4,5,1,1,4,NickM
4,4,2,4,2,2,2,4,4,2,2,4,NickM
4,5,2,3,1,4,2,4,4,2,5,3,NickM
5,5,3,4,2,3,1,5,3,1,1,3,NickM
4,4,2,4,2,4,4,4,4,4,4,4,NickM
4,4,3,4,1,3,2,2,4,3,1,3,NickM
4,4,2,4,1,2,2,4,4,2,2,4,NickM
4,4,2,4,2,2,2,4,4,2,2,4,NickM
4,4,2,4,2,1,1,3,4,2,1,4,NickM
3,4,3,4,3,3,2,3,5,3,2,3,NickM
4,3,2,3,2,3,2,4,2,2,2,3,NickM
5,4,2,3,2,3,2,3,3,2,3,3,NickM
5,4,2,5,2,3,4,3,5,4,2,3,NickM
4,3,2,5,1,2,1,5,4,3,3,3,NickM
4,4,3,3,4,3,2,4,5,3,2,3,NickM
5,5,2,4,2,2,3,4,5,3,2,3,NickM
5,4,3,3,2,2,3,4,5,3,3,3,NickM
5,4,3,3,3,2,4,3,3,2,4,3,NickM
1,2,2,4,2,3,2,4,4,2,2,3,NickM
4,5,2,3,1,2,1,5,4,2,2,3,NickM
4,4,2,3,3,3,2,3,2,2,1,3,NickM
4,4,2,4,1,3,2,4,4,2,1,2,NickM
5,4,3,4,NA,2,2,4,4,2,3,4,NickM
3,4,3,4,4,2,4,4,4,2,2,2,NickM
4,2,3,3,1,4,2,3,4,2,2,3,NickM
4,4,2,3,2,2,2,4,4,3,2,3,NickM
4,3,2,4,2,4,2,3,2,2,2,2,NickM
3,3,3,3,3,5,3,3,3,3,3,3,NickM
5,4,2,5,2,4,1,4,4,2,1,3,NickM
4,4,2,4,2,3,1,4,4,1,1,4,NickM
4,4,2,4,1,3,1,4,3,1,1,3,NickM
4,4,3,3,4,3,2,3,4,2,2,2,NickM
5,5,5,5,5,4,1,5,5,1,2,4,NickM
4,3,2,3,2,3,2,3,2,2,2,3,NickM
4,4,3,4,3,2,2,4,3,2,2,3,NickM
3,4,3,4,2,2,2,4,4,2,2,3,NickM
3,3,3,3,3,3,3,3,3,3,3,3,NickM
4,4,2,4,1,2,2,4,5,2,1,4,NickM
