"room.x","group","midterm","Final","project","hw1","hw1ol","hw2","hw2ol","hw3","hw3ol","hw4","hw4ol","hw5","hw5ol","hw6","hw6ol","hw7","midtermwgt","projectwgt","quizwgt","finalwgt","hw1perc","hw2perc","hw3perc","hw4perc","hw5perc","hw6perc","hw7perc","hw8perc","hw9perc","hw10perc","hw11perc","hw12perc","hw13perc","hwtotalwgt","lab1perc","lab2perc","lab3perc","lab4perc","lab5perc","lab6perc","lab7perc","lab8perc","lab9perc","lab10perc","lab12perc","lab13perc","lab14perc","labtotalwgt","studyhwtotal","studylabtotal","studyhwcompleted","studylabcompleted","Consent","room.y","Section","NewGroup","AppliedCI","ConfMC","AppliedHT","HypMC","NormalDist","Exam","AppliedComb","CIComb","MCComb","HTComb"
"sweeney","CS 5",53.5,50,50,12,9,0,0,0,0,13,0,18,0,6.5,10,0,13.375,9.090909091,3.125,15,0.84,0,0,0.282608696,0.580645161,0.515625,0,0,0,0.138888889,0.9,0.477272727,0.75,6.115964282,1,0.84,0.916666667,0.8,0.9125,0.933333333,1.027777778,0,0.9,0.9875,0.95,0.961538462,0,12.7866453,0.345003113,0.78687048,8,11,1,"Sweeney 1134","c",5,9,3,6,5,NA,50,15,12,8,11
"sweeney","DS 2",75,75,45.5,12.5,9,0,0,18,9,23,3,17,11,11,14,9,18.75,8.272727273,4.0625,22.5,0.86,0,0.771428571,0.565217391,0.903225806,0.78125,0.9,0.923076923,0,0.138888889,0,0,0.75,8.990573974,0.8,0.84,0.95,0.8125,0,0.966666667,1.055555556,1,0.875,1,0.983333333,0.91025641,0,12.74163996,0.507160583,0.78410092,9,11,1,"Sweeney 1134","d",2,10,7,6,6,NA,75,16,17,13,12
"kildee","CK 3",67,71,53,15,9,0,21,22.5,9,18.5,7,17,8,9,17,10,16.75,9.636363636,3.59375,21.3,0.96,0.466666667,0.9,0.554347826,0.806451613,0.8125,1,0.9,0.942307692,0,0.7,0.793478261,1,12.77602553,0.95,0.86,0.85,0.5375,0.85,0.9,0,0.875,0.95,0.895833333,0.875,0.933333333,1,13.590625,0.756596312,0.800769231,12,12,1,"Kildee 0108","c",3,12,6,8,6,NA,71,20,18,12,14
"kildee","DK 3",73.5,72,53.5,0,10,5.5,18.14285,0,0,0,0,0,0,0,0,0,18.375,9.727272727,3.125,21.6,0.4,0.525396667,0,0,0,0,0,0,0,0,0,0,0,1.261904545,0.8,0.84,0,0.8125,0.9,0.966666667,1.055555556,0.875,0.983333333,0.708333333,0.847222222,0.966666667,1,13.66284722,0.071184359,0.818354701,2,12,1,"Kildee 0108","d",3,8,8,4,7,NA,72,12,16,15,11
"sweeney","DS 5",45,59,50,11,7,13.5,18.57143,20,7,0,0,14,7,11,6,10,11.25,9.090909091,3.75,17.7,0.72,0.712698444,0.771428571,0,0.677419355,0.53125,1,0,0.785714286,0.444444444,0.67,0.681818182,1,10.90196357,0.883333333,0.64,0.916666667,0.875,0.9625,0.933333333,0.944444444,1,0.95,0.9625,0.933333333,0.948717949,1,13.04353632,0.61498256,0.91921762,11,13,1,"Sweeney 1134","d",5,11,5,5,7,NA,59,16,16,12,12
"sweeney","CS 6",72.5,78,52.8,16,9,20.5,21,25,9,28,9,19,11,11.5,18,10,18.125,9.6,5,23.4,1,0.922222222,0.971428571,0.804347826,0.967741935,0.921875,1,1,0.964285714,0.916666667,0.93,0.954545455,1,14.49831668,0.983333333,0.86,0.916666667,0.7875,0.9,0.916666667,1.027777778,1,0.9,0.9,0.85,0.91025641,1,12.89337607,0.950239492,0.919400066,13,13,1,"Sweeney 1134","c",6,11,5,11,9,NA,78,22,16,14,20
"kildee","DK 2",58.5,68,48,14,10,24,21,25,9,25.5,7,17,11,8,17,10,14.625,8.727272727,5,20.4,0.96,1,0.971428571,0.706521739,0.903225806,0.78125,1,0.9,0.942307692,0.964285714,1,0.989130435,0.888888889,14.34445515,0.983333333,0.84,0.983333333,0.8125,0.9875,0.933333333,1.055555556,0.875,1,0.875,0.888888889,0.9,1,14.16493056,0.923618373,0.921880342,13,13,1,"Kildee 0108","d",2,11,7,8,6,NA,68,19,18,13,14
"kildee","CK 3",79,74,53,12,10,22.5,21,26,9,30.5,7,18,10,13.5,15,10,19.75,9.636363636,5,22.2,0.88,0.966666667,1,0.815217391,0.903225806,0.890625,1,0.8,0.980769231,0.910714286,0.9,0.847826087,1,14.01794601,1,0.86,0.85,0.5375,0.85,0.9,0.888888889,0.875,0.95,0.895833333,0.875,0.933333333,1,13.59756944,0.915003421,0.801196581,13,13,1,"Kildee 0108","c",3,11,7,10,8,NA,74,21,18,15,18
"sweeney","DS 4",76,73,47,0,10,20,21,21,9,28.5,7,20,11,10,16,10,19,8.545454545,4.21875,21.9,0.4,0.911111111,0.857142857,0.77173913,1,0.8125,1,0.346153846,0.571428571,0.916666667,0.81,0.772727273,0.75,12.50906674,0.766666667,0.86,0.95,0.7375,0.975,0.933333333,0.833333333,1,0.775,0.9625,0.716666667,0.871794872,1,12.40953526,0.763036112,0.875522682,13,13,1,"Sweeney 1134","d",4,9,5,9,7,NA,73,18,14,12,16
"kildee","DK 1",91,89,52,11.5,8,18.5,21,23,9,30,10,20,10,10,18,10,22.75,9.454545455,5,26.7,0.78,0.877777778,0.914285714,0.869565217,0.967741935,0.875,1,0.96,0.961538462,0.839285714,1,0.989130435,1,14.20232665,0.85,0.9,0.883333333,0.9375,0.85,0.883333333,1.055555556,0.9375,1,0,0.944444444,1,1,14.19791667,0.925717327,0.862179487,13,12,1,"Kildee 0108","d",1,12,9,10,8,NA,89,22,21,17,18
"sweeney","DS 4",61,80,47,0,9,15,12.14286,6.5,6,8,0,20,0,11,9,10,15.25,8.545454545,3.4375,24,0.36,0.603174667,0.357142857,0.173913043,0.64516129,0.625,1,0.230769231,0.482142857,0,0.69,0,0,7.046323562,0.766666667,0.86,0.95,0.7375,0.975,0.933333333,0.833333333,1,0.775,0.9625,0.716666667,0.871794872,1,12.40953526,0.397484919,0.875522682,10,13,1,"Sweeney 1134","d",4,12,8,11,8,NA,80,23,20,16,19
"sweeney","DS 3",67.5,75,52.5,9,9,0,19.57143,14.5,5,0,0,18,11,12,14,4,16.875,9.545454545,3.125,22.5,0.72,0.434920667,0.557142857,0,0.935483871,0.8125,0.4,0.461538462,0.892857143,0,0.7,0.318181818,0.875,9.69221566,0.966666667,0.96,0.966666667,0,0.9875,0.933333333,1,1,0.9,1,0.95,0.974358974,1,13.42315705,0.546740371,0.895271203,11,12,1,"Sweeney 1134","d",3,9,8,11,7,NA,75,20,17,15,18
"sweeney","CS 5",97,88,50,17,9,22.5,19.57143,25,9,30.5,10,20,11,14,17,10,24.25,9.090909091,5,26.4,1.04,0.934920667,0.971428571,0.880434783,1,0.96875,1,1,0.982142857,0.861111111,0.98,0.909090909,1,14.70863591,0.983333333,0.8,0.966666667,0.925,0.9,0.95,1.027777778,1,0.9,0,0.95,0.961538462,1,13.2053953,0.963682992,0.874178172,13,12,1,"Sweeney 1134","c",5,12,8,11,6,NA,88,23,20,14,17
"sweeney","DS 1",74,66,55,12.5,10,21.5,21,23.5,9,29.5,9,18,10,11.5,16,10,18.5,10,4.84375,19.8,0.9,0.944444444,0.928571429,0.836956522,0.903225806,0.859375,1,0.807692308,0.875,0.944444444,0.87,0.659090909,1,13.72093315,0.983333333,0.88,0.916666667,0.8625,0.9875,0.95,0.972222222,0.894736842,0.7,0,0.716666667,0.858974359,1,12.52825011,0.886830836,0.824815392,13,12,1,"Sweeney 1134","d",1,9,8,6,5,NA,66,15,17,13,11
