"binxs","binys","binfreq","BinSize","BinningType"
0.5,0.5,13,"1 X 1 Unit","Standard"
0.5,1.5,16,"1 X 1 Unit","Standard"
0.5,3.5,29,"1 X 1 Unit","Standard"
0.5,5.5,17,"1 X 1 Unit","Standard"
0.5,7.5,26,"1 X 1 Unit","Standard"
0.5,9.5,15,"1 X 1 Unit","Standard"
0.5,11.5,16,"1 X 1 Unit","Standard"
0.5,13.5,11,"1 X 1 Unit","Standard"
0.5,15.5,17,"1 X 1 Unit","Standard"
0.5,17.5,18,"1 X 1 Unit","Standard"
0.5,19.5,18,"1 X 1 Unit","Standard"
0.5,21.5,21,"1 X 1 Unit","Standard"
0.5,23.5,19,"1 X 1 Unit","Standard"
0.5,25.5,25,"1 X 1 Unit","Standard"
0.5,27.5,24,"1 X 1 Unit","Standard"
0.5,29.5,26,"1 X 1 Unit","Standard"
0.5,31.5,19,"1 X 1 Unit","Standard"
0.5,33.5,19,"1 X 1 Unit","Standard"
0.5,35.5,24,"1 X 1 Unit","Standard"
0.5,37.5,20,"1 X 1 Unit","Standard"
0.5,39.5,20,"1 X 1 Unit","Standard"
0.5,41.5,16,"1 X 1 Unit","Standard"
0.5,43.5,26,"1 X 1 Unit","Standard"
0.5,45.5,28,"1 X 1 Unit","Standard"
0.5,47.5,16,"1 X 1 Unit","Standard"
0.5,49.5,24,"1 X 1 Unit","Standard"
0.5,51.5,20,"1 X 1 Unit","Standard"
0.5,53.5,13,"1 X 1 Unit","Standard"
0.5,55.5,21,"1 X 1 Unit","Standard"
0.5,57.5,19,"1 X 1 Unit","Standard"
0.5,59.5,18,"1 X 1 Unit","Standard"
0.5,61.5,19,"1 X 1 Unit","Standard"
0.5,63.5,14,"1 X 1 Unit","Standard"
0.5,65.5,18,"1 X 1 Unit","Standard"
0.5,67.5,18,"1 X 1 Unit","Standard"
0.5,69.5,26,"1 X 1 Unit","Standard"
0.5,71.5,15,"1 X 1 Unit","Standard"
0.5,73.5,25,"1 X 1 Unit","Standard"
0.5,75.5,19,"1 X 1 Unit","Standard"
0.5,77.5,22,"1 X 1 Unit","Standard"
0.5,79.5,29,"1 X 1 Unit","Standard"
0.5,81.5,25,"1 X 1 Unit","Standard"
0.5,83.5,20,"1 X 1 Unit","Standard"
0.5,85.5,27,"1 X 1 Unit","Standard"
0.5,87.5,19,"1 X 1 Unit","Standard"
0.5,89.5,18,"1 X 1 Unit","Standard"
0.5,91.5,21,"1 X 1 Unit","Standard"
0.5,93.5,15,"1 X 1 Unit","Standard"
0.5,95.5,17,"1 X 1 Unit","Standard"
0.5,97.5,19,"1 X 1 Unit","Standard"
0.5,99.5,9,"1 X 1 Unit","Standard"
1.5,0.5,19,"1 X 1 Unit","Standard"
1.5,1.5,48,"1 X 1 Unit","Standard"
1.5,3.5,35,"1 X 1 Unit","Standard"
1.5,5.5,34,"1 X 1 Unit","Standard"
1.5,7.5,46,"1 X 1 Unit","Standard"
1.5,9.5,27,"1 X 1 Unit","Standard"
1.5,11.5,41,"1 X 1 Unit","Standard"
1.5,13.5,47,"1 X 1 Unit","Standard"
1.5,15.5,40,"1 X 1 Unit","Standard"
1.5,17.5,40,"1 X 1 Unit","Standard"
1.5,19.5,40,"1 X 1 Unit","Standard"
