"set","value","polarity","means"
"Ease",1,"Neg",4.5
"Ease",1,"Pos",1.5
"Ease",2,"Neg",19.5
"Ease",2,"Pos",13
"Ease",3,"Neg",46
"Ease",3,"Pos",73
"Ease",4,"Neg",151
"Ease",4,"Pos",144.5
"Ease",5,"Neg",43.5
"Ease",5,"Pos",33
"Concept",1,"Neg",3.5
"Concept",1,"Pos",1
"Concept",2,"Neg",25.5
"Concept",2,"Pos",13.5
"Concept",3,"Neg",39
"Concept",3,"Pos",84
"Concept",4,"Neg",130
"Concept",4,"Pos",134
"Concept",5,"Neg",64.5
"Concept",5,"Pos",32
"Engagement",1,"Neg",13
"Engagement",1,"Pos",3.5
"Engagement",2,"Neg",36
"Engagement",2,"Pos",24.5
"Engagement",3,"Neg",100.5
"Engagement",3,"Pos",96
"Engagement",4,"Neg",87.5
"Engagement",4,"Pos",104.5
"Engagement",5,"Neg",27
"Engagement",5,"Pos",36.5
