"originx","originy","widthx","widthy","totalSpatialLoss","maxSpatialLoss","propSpatialLoss","bintype","distrib"
-1,-1,2,2,0,3829514.198366,0,"standard","unif"
-1,-1,2,2,0,3829514.198366,0,"random","unif"
-0.9,-0.9,2,2,14142.1356237307,3829514.198366,0.00369293202510255,"standard","unif"
-0.9,-0.9,2,2,34419.3175278191,3829514.198366,0.00898790701507396,"random","unif"
-0.8,-0.8,2,2,28284.2712474622,3829514.198366,0.00738586405020528,"standard","unif"
-0.8,-0.8,2,2,60615.7231836443,3829514.198366,0.0158285672917751,"random","unif"
-0.7,-0.7,2,2,42426.4068711926,3829514.198366,0.0110787960753078,"standard","unif"
-0.7,-0.7,2,2,81757.1622960948,3829514.198366,0.0213492255312644,"random","unif"
-0.6,-0.6,2,2,56568.542494924,3829514.198366,0.0147717281004105,"standard","unif"
-0.6,-0.6,2,2,98940.9434773708,3829514.198366,0.0258364216326936,"random","unif"
-0.5,-0.5,2,2,70710.6781186548,3829514.198366,0.018464660125513,"standard","unif"
-0.5,-0.5,2,2,113164.817264972,3829514.198366,0.0295506979222739,"random","unif"
-0.4,-0.4,2,2,84852.8137423855,3829514.198366,0.0221575921506156,"standard","unif"
-0.4,-0.4,2,2,124039.837301128,3829514.198366,0.0323904889434942,"random","unif"
-0.3,-0.3,2,2,98994.9493661169,3829514.198366,0.0258505241757183,"standard","unif"
-0.3,-0.3,2,2,131709.397607142,3829514.198366,0.0343932391380975,"random","unif"
-0.2,-0.2,2,2,113137.084989847,3829514.198366,0.0295434562008208,"standard","unif"
-0.2,-0.2,2,2,137161.640001368,3829514.198366,0.0358169817100803,"random","unif"
-0.1,-0.1,2,2,127279.220613579,3829514.198366,0.0332363882259235,"standard","unif"
-0.1,-0.1,2,2,140432.506781804,3829514.198366,0.0366711022619331,"random","unif"
0,0,2,2,141421.35623731,3829514.198366,0.0369293202510261,"standard","unif"
0,0,2,2,141421.35623731,3829514.198366,0.0369293202510261,"random","unif"
-1,-1,4,4,141421.35623731,3829514.198366,0.0369293202510261,"standard","unif"
-1,-1,4,4,221060.000605279,3829514.198366,0.0577253377725044,"random","unif"
-0.9,-0.9,4,4,141788.158868675,3829514.198366,0.0370251033222893,"standard","unif"
-0.9,-0.9,4,4,220102.022773829,3829514.198366,0.0574751812821959,"random","unif"
-0.8,-0.8,4,4,142849.377292799,3829514.198366,0.0373022190004546,"standard","unif"
-0.8,-0.8,4,4,217616.438292764,3829514.198366,0.0568261212833779,"random","unif"
-0.7,-0.7,4,4,144575.453067597,3829514.198366,0.0377529486975881,"standard","unif"
-0.7,-0.7,4,4,215824.238290539,3829514.198366,0.0563581245847392,"random","unif"
-0.6,-0.6,4,4,146921.533566169,3829514.198366,0.038365580059439,"standard","unif"
-0.6,-0.6,4,4,211240.154258703,3829514.198366,0.0551610839695635,"random","unif"
-0.5,-0.5,4,4,149832.733653301,3829514.198366,0.0391257809455917,"standard","unif"
-0.5,-0.5,4,4,207183.072785446,3829514.198366,0.0541016593890285,"random","unif"
-0.4,-0.4,4,4,153249.469296134,3829514.198366,0.040017992193768,"standard","unif"
-0.4,-0.4,4,4,201196.548820947,3829514.198366,0.0525384000160634,"random","unif"
-0.3,-0.3,4,4,157111.929203481,3829514.198366,0.0410265952977844,"standard","unif"
-0.3,-0.3,4,4,194331.455526899,3829514.198366,0.0507457200732712,"random","unif"
-0.2,-0.2,4,4,161363.261061178,3829514.198366,0.0421367444283218,"standard","unif"
-0.2,-0.2,4,4,186479.476404321,3829514.198366,0.0486953349027636,"random","unif"
-0.1,-0.1,4,4,165951.477395623,3829514.198366,0.0433348641105527,"standard","unif"
-0.1,-0.1,4,4,178316.222713379,3829514.198366,0.0465636666889663,"random","unif"
0,0,4,4,170830.324871636,3829514.198366,0.0446088762236545,"standard","unif"
0,0,4,4,170830.324871636,3829514.198366,0.0446088762236545,"random","unif"
-1,-1,6,6,213452.618598427,3829514.198366,0.0557388241802325,"standard","unif"
-1,-1,6,6,284773.421238267,3829514.198366,0.0743628059558508,"random","unif"
-0.9,-0.9,6,6,215271.104833919,3829514.198366,0.0562136849958076,"standard","unif"
-0.9,-0.9,6,6,290910.964992693,3829514.198366,0.0759655010854434,"random","unif"
-0.8,-0.8,6,6,217472.672558584,3829514.198366,0.056788579776353,"standard","unif"
-0.8,-0.8,6,6,296158.96828095,3829514.198366,0.0773359107552903,"random","unif"
-0.7,-0.7,6,6,220062.755972722,3829514.198366,0.0574649275531136,"standard","unif"
-0.7,-0.7,6,6,301154.106017508,3829514.198366,0.0786402897124669,"random","unif"
-0.6,-0.6,6,6,223050.293917399,3829514.198366,0.0582450625232233,"standard","unif"
-0.6,-0.6,6,6,305224.566386497,3829514.198366,0.0797032079204021,"random","unif"
-0.5,-0.5,6,6,226447.160478617,3829514.198366,0.0591320853635269,"standard","unif"
-0.5,-0.5,6,6,308822.816799569,3829514.198366,0.0806428180711118,"random","unif"
-0.4,-0.4,6,6,230267.180076907,3829514.198366,0.0601296060411942,"standard","unif"
-0.4,-0.4,6,6,311796.423458851,3829514.198366,0.0814193151684591,"random","unif"
-0.3,-0.3,6,6,234524.617948315,3829514.198366,0.0612413496334295,"standard","unif"
-0.3,-0.3,6,6,314631.379425041,3829514.198366,0.0821596064480684,"random","unif"
-0.2,-0.2,6,6,239232.136491505,3829514.198366,0.0624706226689491,"standard","unif"
-0.2,-0.2,6,6,314883.919653762,3829514.198366,0.082225552209238,"random","unif"
-0.1,-0.1,6,6,244398.39644794,3829514.198366,0.0638196867248127,"standard","unif"
-0.1,-0.1,6,6,316136.652015858,3829514.198366,0.0825526778698845,"random","unif"
0,0,6,6,250025.709712723,3829514.198366,0.0652891455055592,"standard","unif"
0,0,6,6,316124.332320433,3829514.198366,0.0825494608311725,"random","unif"
-1,-1,8,8,296437.096816495,3829514.198366,0.0774085383840542,"standard","unif"
-1,-1,8,8,415113.35815436,3829514.198366,0.108398438196543,"random","unif"
-0.9,-0.9,8,8,296952.867316441,3829514.198366,0.077543221394282,"standard","unif"
-0.9,-0.9,8,8,415497.617573199,3829514.198366,0.108498779753966,"random","unif"
-0.8,-0.8,8,8,297864.9426504,3829514.198366,0.0777813913779181,"standard","unif"
-0.8,-0.8,8,8,414691.704250319,3829514.198366,0.10828833182738,"random","unif"
-0.7,-0.7,8,8,299165.982630646,3829514.198366,0.0781211315937398,"standard","unif"
-0.7,-0.7,8,8,414152.143015939,3829514.198366,0.108147436349146,"random","unif"
-0.6,-0.6,8,8,300845.035645633,3829514.198366,0.0785595822504065,"standard","unif"
-0.6,-0.6,8,8,413403.589583602,3829514.198366,0.10795196679516,"random","unif"
-0.5,-0.5,8,8,302888.913015589,3829514.198366,0.0790932993915591,"standard","unif"
-0.5,-0.5,8,8,412061.781937511,3829514.198366,0.107601580929856,"random","unif"
-0.4,-0.4,8,8,305283.59065903,3829514.198366,0.0797186209126186,"standard","unif"
-0.4,-0.4,8,8,409841.793945924,3829514.198366,0.107021876070024,"random","unif"
-0.3,-0.3,8,8,308015.400216138,3829514.198366,0.0804319775985067,"standard","unif"
-0.3,-0.3,8,8,407102.110818369,3829514.198366,0.106306463360829,"random","unif"
-0.2,-0.2,8,8,311071.905045908,3829514.198366,0.081230121872544,"standard","unif"
-0.2,-0.2,8,8,404441.436607691,3829514.198366,0.105611682228587,"random","unif"
-0.1,-0.1,8,8,314442.466820175,3829514.198366,0.0821102757509929,"standard","unif"
-0.1,-0.1,8,8,400870.124314969,3829514.198366,0.10467910642191,"random","unif"
0,0,8,8,318118.566945688,3829514.198366,0.0830702147759172,"standard","unif"
0,0,8,8,396597.782347896,3829514.198366,0.103563470927231,"random","unif"
-1,-1,10,10,375166.249599009,3829514.198366,0.0979670606154398,"standard","unif"
-1,-1,10,10,499313.84949163,3829514.198366,0.130385689575111,"random","unif"
-0.9,-0.9,10,10,375833.765260038,3829514.198366,0.098141368798267,"standard","unif"
-0.9,-0.9,10,10,502418.655471523,3829514.198366,0.13119644671533,"random","unif"
-0.8,-0.8,10,10,376778.670836166,3829514.198366,0.0983881117341025,"standard","unif"
-0.8,-0.8,10,10,505201.305136098,3829514.198366,0.131923079264639,"random","unif"
-0.7,-0.7,10,10,378003.371548057,3829514.198366,0.0987079174975629,"standard","unif"
-0.7,-0.7,10,10,506409.023821755,3829514.198366,0.132238450516212,"random","unif"
-0.6,-0.6,10,10,379511.667790984,3829514.198366,0.0991017784848314,"standard","unif"
-0.6,-0.6,10,10,508406.357625391,3829514.198366,0.132760013748564,"random","unif"
-0.5,-0.5,10,10,381308.551299396,3829514.198366,0.0995709981861655,"standard","unif"
-0.5,-0.5,10,10,509303.52589394,3829514.198366,0.132994291054268,"random","unif"
-0.4,-0.4,10,10,383399.850198813,3829514.198366,0.100117098498395,"standard","unif"
-0.4,-0.4,10,10,510587.638421433,3829514.198366,0.133329611008961,"random","unif"
-0.3,-0.3,10,10,385791.683294275,3829514.198366,0.100741677223415,"standard","unif"
-0.3,-0.3,10,10,510551.47712582,3829514.198366,0.133320168219683,"random","unif"
-0.2,-0.2,10,10,388489.719992052,3829514.198366,0.101446214811742,"standard","unif"
-0.2,-0.2,10,10,512258.980996689,3829514.198366,0.1337660482406,"random","unif"
-0.1,-0.1,10,10,391498.310434708,3829514.198366,0.102231847214917,"standard","unif"
-0.1,-0.1,10,10,513143.850791444,3829514.198366,0.133997114049191,"random","unif"
0,0,10,10,394819.632876647,3829514.198366,0.103099143239921,"standard","unif"
0,0,10,10,512269.118693465,3829514.198366,0.133768695494599,"random","unif"
-1,-1,12,12,453912.264371971,3829514.198366,0.1185299860138,"standard","unif"
-1,-1,12,12,642772.302770338,3829514.198366,0.16784695642194,"random","unif"
-0.9,-0.9,12,12,454573.147797584,3829514.198366,0.118702562322799,"standard","unif"
-0.9,-0.9,12,12,642967.911083896,3829514.198366,0.167898035567603,"random","unif"
-0.8,-0.8,12,12,455505.500616307,3829514.198366,0.118946027360511,"standard","unif"
-0.8,-0.8,12,12,641101.529025418,3829514.198366,0.167410667728812,"random","unif"
-0.7,-0.7,12,12,456706.102683972,3829514.198366,0.119259540251566,"standard","unif"
-0.7,-0.7,12,12,639194.956974655,3829514.198366,0.166912805088277,"random","unif"
-0.6,-0.6,12,12,458170.256723361,3829514.198366,0.119641874397242,"standard","unif"
-0.6,-0.6,12,12,637445.647081671,3829514.198366,0.166456008272188,"random","unif"
-0.5,-0.5,12,12,459892.374676277,3829514.198366,0.120091570589425,"standard","unif"
-0.5,-0.5,12,12,635097.283828351,3829514.198366,0.165842780815211,"random","unif"
-0.4,-0.4,12,12,461866.575789093,3829514.198366,0.120607093188521,"standard","unif"
